,area,perimetro,compact,long_kernel,ancho_kernel,coef_asimetrima,long_ranura,tipo,id_cluster
0,15.26,14.84,0.871,5.763,3.312,2.221,5.22,1,2
1,14.88,14.57,0.8811,5.553999999999999,3.333,1.018,4.956,1,2
2,14.29,14.09,0.905,5.291,3.3369999999999997,2.699,4.825,1,2
3,13.84,13.94,0.8955,5.324,3.3789999999999996,2.259,4.805,1,2
4,16.14,14.99,0.9034,5.6579999999999995,3.562,1.355,5.175,1,2
5,14.38,14.21,0.8951,5.386,3.312,2.4619999999999997,4.956,1,2
6,14.69,14.49,0.8799,5.563,3.259,3.5860000000000003,5.218999999999999,1,2
7,14.11,14.1,0.8911,5.42,3.302,2.7,5.0,1,2
9,16.44,15.25,0.888,5.8839999999999995,3.505,1.969,5.5329999999999995,1,2
10,15.26,14.85,0.8696,5.7139999999999995,3.242,4.543,5.314,1,2
11,14.03,14.16,0.8796,5.438,3.201,1.7169999999999999,5.001,1,2
12,13.89,14.02,0.888,5.439,3.199,3.986,4.738,1,2
13,13.78,14.06,0.8759,5.479,3.156,3.136,4.872,1,2
14,13.74,14.05,0.8744,5.482,3.114,2.932,4.825,1,2
15,14.59,14.28,0.8993,5.351,3.333,4.185,4.781000000000001,1,2
16,13.99,13.83,0.9183,5.119,3.383,5.234,4.781000000000001,1,2
17,15.69,14.75,0.9058,5.527,3.514,1.599,5.046,1,2
18,14.7,14.21,0.9153,5.205,3.466,1.767,4.649,1,2
19,12.72,13.57,0.8686,5.226,3.049,4.102,4.914,1,2
20,14.16,14.4,0.8584,5.6579999999999995,3.1289999999999996,3.072,5.176,1,2
21,14.11,14.26,0.8722,5.52,3.168,2.688,5.218999999999999,1,2
22,15.88,14.9,0.8988,5.617999999999999,3.5069999999999997,0.7651,5.091,1,2
23,12.08,13.23,0.8664,5.099,2.9360000000000004,1.415,4.961,1,2
24,15.01,14.76,0.8657,5.789,3.245,1.791,5.001,1,2
25,16.19,15.16,0.8849,5.832999999999999,3.4210000000000003,0.903,5.307,1,2
26,13.02,13.76,0.8641,5.395,3.0260000000000002,3.373,4.825,1,2
27,12.74,13.67,0.8564,5.395,2.9560000000000004,2.504,4.869,1,2
28,14.11,14.18,0.882,5.541,3.221,2.7539999999999996,5.038,1,2
29,13.45,14.02,0.8604,5.516,3.065,3.531,5.0969999999999995,1,2
30,13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,1,2
31,15.49,14.94,0.8724,5.757000000000001,3.3710000000000004,3.412,5.228,1,2
32,14.09,14.41,0.8529,5.7170000000000005,3.1860000000000004,3.92,5.2989999999999995,1,2
33,13.94,14.17,0.8728,5.585,3.15,2.124,5.012,1,2
34,15.05,14.68,0.8779,5.712000000000001,3.3280000000000003,2.129,5.36,1,2
35,16.12,15.0,0.9,5.709,3.485,2.27,5.443,1,2
36,16.2,15.27,0.8734,5.8260000000000005,3.464,2.823,5.527,1,2
38,14.8,14.52,0.8823,5.656000000000001,3.2880000000000003,3.112,5.309,1,2
39,14.28,14.17,0.8944,5.397,3.298,6.685,5.001,1,2
40,13.54,13.85,0.8871,5.348,3.156,2.5869999999999997,5.178,1,2
41,13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1,2
42,13.16,13.55,0.9009,5.138,3.201,2.461,4.783,1,2
43,15.5,14.86,0.882,5.877000000000001,3.3960000000000004,4.711,5.528,1,2
44,15.11,14.54,0.8986,5.579,3.4619999999999997,3.128,5.18,1,2
45,13.8,14.04,0.8794,5.376,3.155,1.56,4.961,1,2
46,15.36,14.76,0.8861,5.7010000000000005,3.3930000000000002,1.367,5.132000000000001,1,2
47,14.99,14.56,0.8883,5.57,3.377,2.958,5.175,1,2
48,14.79,14.52,0.8819,5.545,3.2910000000000004,2.7039999999999997,5.111000000000001,1,2
49,14.86,14.67,0.8676,5.678,3.258,2.129,5.351,1,2
50,14.43,14.4,0.8751,5.585,3.272,3.975,5.144,1,2
51,15.78,14.91,0.8923,5.6739999999999995,3.4339999999999997,5.593,5.136,1,2
52,14.49,14.61,0.8538,5.715,3.113,4.1160000000000005,5.396,1,2
53,14.33,14.28,0.8831,5.504,3.199,3.3280000000000003,5.224,1,2
54,14.52,14.6,0.8557,5.7410000000000005,3.113,1.4809999999999999,5.487,1,2
55,15.03,14.77,0.8658,5.702000000000001,3.2119999999999997,1.933,5.439,1,2
56,14.46,14.35,0.8818,5.388,3.377,2.802,5.044,1,2
57,14.92,14.43,0.9006,5.3839999999999995,3.412,1.1420000000000001,5.088,1,2
58,15.38,14.77,0.8857,5.662000000000001,3.4189999999999996,1.999,5.222,1,2
59,12.11,13.47,0.8392,5.159,3.032,1.5019999999999998,4.519,1,2
60,11.42,12.86,0.8683,5.008,2.85,2.7,4.607,1,2
61,11.23,12.63,0.884,4.902,2.8789999999999996,2.269,4.703,1,2
62,12.36,13.19,0.8923,5.0760000000000005,3.042,3.22,4.605,1,2
63,13.22,13.84,0.868,5.395,3.07,4.157,5.088,1,2
64,12.78,13.57,0.8716,5.2620000000000005,3.0260000000000002,1.176,4.782,1,2
65,12.88,13.5,0.8879,5.138999999999999,3.1189999999999998,2.352,4.607,1,2
66,14.34,14.37,0.8726,5.63,3.19,1.3130000000000002,5.15,1,2
67,14.01,14.29,0.8625,5.609,3.158,2.217,5.132000000000001,1,2
68,14.37,14.39,0.8726,5.569,3.153,1.464,5.3,1,2
69,12.73,13.75,0.8458,5.412000000000001,2.8819999999999997,3.533,5.067,1,2
124,15.99,14.89,0.9064,5.3629999999999995,3.582,3.3360000000000003,5.144,2,2
135,15.38,14.66,0.899,5.477,3.465,3.6,5.439,2,2
