,c_noausentes_1er_anio,cursadas_ap_1er_anio,c_libres_1er_anio,cursadas_1er_anio,fracaso_academico
0,8,4,3,16,0
1,1,1,0,4,0
2,0,0,0,2,0
3,0,0,0,2,0
4,1,1,0,1,0
5,2,2,0,2,0
6,0,0,0,5,0
7,2,0,1,3,0
8,2,0,2,3,1
9,2,2,0,5,0
10,5,4,1,5,0
11,3,1,2,8,0
12,1,0,1,3,0
13,2,2,0,5,0
14,0,0,0,2,0
15,2,1,1,2,0
16,0,0,0,0,0
17,6,6,0,8,0
18,0,0,0,0,0
19,1,1,0,2,0
20,0,0,0,0,0
21,6,3,3,7,0
22,0,0,0,1,0
23,0,0,0,2,0
24,0,0,0,1,0
25,2,2,0,3,0
26,4,3,1,5,0
27,3,3,0,8,0
28,0,0,0,1,0
29,1,1,0,1,0
30,0,0,0,1,0
31,5,4,0,8,0
32,6,6,0,6,0
33,7,5,2,9,0
34,3,3,0,6,0
35,5,5,0,7,0
36,0,0,0,0,0
37,3,3,0,4,0
38,1,1,0,3,0
39,0,0,0,2,0
40,0,0,0,4,0
41,2,2,0,3,0
42,1,1,0,4,0
43,1,1,0,3,0
44,6,6,0,7,0
45,7,6,1,7,0
46,3,0,3,7,0
47,7,2,5,8,1
48,4,0,3,6,0
49,3,1,2,4,0
50,3,1,1,4,0
51,2,1,1,5,0
52,7,4,3,9,0
53,7,5,1,10,0
54,2,1,1,6,0
55,8,5,3,10,0
56,7,5,1,8,0
57,4,4,0,12,0
58,6,0,5,8,1
59,7,6,0,9,0
60,0,0,0,2,0
61,3,2,0,7,0
62,5,2,2,7,0
63,5,1,3,11,0
64,1,0,1,7,0
65,0,0,0,4,0
66,2,0,1,4,0
67,1,1,0,4,0
68,8,7,0,10,0
69,2,2,0,2,0
70,1,1,0,5,0
71,0,0,0,3,0
72,2,1,0,8,0
73,1,0,1,2,0
74,0,0,0,0,0
75,5,4,1,9,0
76,5,3,1,5,0
77,2,2,0,4,0
78,0,0,0,1,0
79,5,3,2,8,0
80,0,0,0,1,0
81,9,9,0,9,0
82,3,1,2,6,0
83,6,3,3,6,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,3,3,0,3,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,1,0,1,1,1
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,1,1,0,1,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,3,2,0,8,0
124,4,4,0,6,0
125,2,0,2,3,1
126,5,4,0,10,0
127,2,1,1,2,0
128,1,0,1,1,1
129,0,0,0,3,0
130,3,2,1,3,0
131,0,0,0,0,0
132,1,0,1,4,0
133,3,2,1,3,0
134,12,12,0,13,0
135,0,0,0,4,0
136,0,0,0,0,0
137,8,7,1,8,0
138,7,4,3,7,0
139,7,7,0,7,0
140,0,0,0,3,0
141,0,0,0,0,0
142,2,2,0,2,0
143,0,0,0,0,0
144,2,2,0,3,0
145,3,1,0,3,0
146,0,0,0,1,0
147,6,6,0,6,0
148,0,0,0,4,0
149,4,4,0,4,0
150,7,7,0,7,0
151,4,1,3,5,1
152,0,0,0,3,0
153,3,3,0,3,0
