,c_noausentes_1er_anio,cursadas_ap_1er_anio,c_libres_1er_anio,cursadas_1er_anio,fracaso_academico,id_cluster
1,1,1,0,4,0,2
2,0,0,0,2,0,2
3,0,0,0,2,0,2
4,1,1,0,1,0,2
5,2,2,0,2,0,2
6,0,0,0,5,0,2
7,2,0,1,3,0,2
9,2,2,0,5,0,2
10,5,4,1,5,0,2
11,3,1,2,8,0,2
12,1,0,1,3,0,2
13,2,2,0,5,0,2
14,0,0,0,2,0,2
15,2,1,1,2,0,2
16,0,0,0,0,0,2
18,0,0,0,0,0,2
19,1,1,0,2,0,2
20,0,0,0,0,0,2
22,0,0,0,1,0,2
23,0,0,0,2,0,2
24,0,0,0,1,0,2
25,2,2,0,3,0,2
26,4,3,1,5,0,2
27,3,3,0,8,0,2
28,0,0,0,1,0,2
29,1,1,0,1,0,2
30,0,0,0,1,0,2
34,3,3,0,6,0,2
36,0,0,0,0,0,2
37,3,3,0,4,0,2
38,1,1,0,3,0,2
39,0,0,0,2,0,2
40,0,0,0,4,0,2
41,2,2,0,3,0,2
42,1,1,0,4,0,2
43,1,1,0,3,0,2
46,3,0,3,7,0,2
48,4,0,3,6,0,2
49,3,1,2,4,0,2
50,3,1,1,4,0,2
51,2,1,1,5,0,2
54,2,1,1,6,0,2
60,0,0,0,2,0,2
61,3,2,0,7,0,2
64,1,0,1,7,0,2
65,0,0,0,4,0,2
66,2,0,1,4,0,2
67,1,1,0,4,0,2
69,2,2,0,2,0,2
70,1,1,0,5,0,2
71,0,0,0,3,0,2
72,2,1,0,8,0,2
73,1,0,1,2,0,2
74,0,0,0,0,0,2
76,5,3,1,5,0,2
77,2,2,0,4,0,2
78,0,0,0,1,0,2
80,0,0,0,1,0,2
82,3,1,2,6,0,2
84,0,0,0,0,0,2
85,0,0,0,0,0,2
86,0,0,0,0,0,2
87,0,0,0,0,0,2
88,0,0,0,0,0,2
89,0,0,0,0,0,2
90,0,0,0,0,0,2
91,0,0,0,0,0,2
92,0,0,0,0,0,2
93,0,0,0,0,0,2
94,0,0,0,0,0,2
95,0,0,0,0,0,2
96,0,0,0,0,0,2
97,0,0,0,0,0,2
98,0,0,0,0,0,2
99,0,0,0,0,0,2
100,3,3,0,3,0,2
101,0,0,0,0,0,2
102,0,0,0,0,0,2
103,0,0,0,0,0,2
104,0,0,0,0,0,2
105,0,0,0,0,0,2
106,0,0,0,0,0,2
108,0,0,0,0,0,2
109,0,0,0,0,0,2
110,0,0,0,0,0,2
111,0,0,0,0,0,2
112,0,0,0,0,0,2
113,0,0,0,0,0,2
114,1,1,0,1,0,2
115,0,0,0,0,0,2
116,0,0,0,0,0,2
117,0,0,0,0,0,2
118,0,0,0,0,0,2
119,0,0,0,0,0,2
120,0,0,0,0,0,2
121,0,0,0,0,0,2
122,0,0,0,0,0,2
123,3,2,0,8,0,2
124,4,4,0,6,0,2
127,2,1,1,2,0,2
129,0,0,0,3,0,2
130,3,2,1,3,0,2
131,0,0,0,0,0,2
132,1,0,1,4,0,2
133,3,2,1,3,0,2
135,0,0,0,4,0,2
136,0,0,0,0,0,2
140,0,0,0,3,0,2
141,0,0,0,0,0,2
142,2,2,0,2,0,2
143,0,0,0,0,0,2
144,2,2,0,3,0,2
145,3,1,0,3,0,2
146,0,0,0,1,0,2
148,0,0,0,4,0,2
149,4,4,0,4,0,2
152,0,0,0,3,0,2
153,3,3,0,3,0,2
156,3,1,2,5,0,2
165,5,5,0,5,0,2
166,4,3,1,7,0,2
168,3,2,1,7,0,2
171,2,1,0,5,0,2
175,1,0,1,5,0,2
177,0,0,0,4,0,2
186,1,0,1,5,0,2
188,2,2,0,4,0,2
189,4,4,0,4,0,2
195,2,2,0,3,0,2
198,0,0,0,1,0,2
202,0,0,0,4,0,2
206,2,0,2,4,0,2
210,2,0,2,4,0,2
212,2,1,1,5,0,2
214,4,2,1,8,0,2
221,1,1,0,4,0,2
227,2,1,1,4,0,2
229,0,0,0,5,0,2
233,0,0,0,4,0,2
234,4,2,2,6,0,2
235,1,0,1,3,0,2
249,5,2,2,6,0,2
252,3,2,1,3,0,2
258,0,0,0,4,0,2
263,0,0,0,4,0,2
267,1,0,0,5,0,2
270,0,0,0,3,0,2
272,2,0,1,6,0,2
273,0,0,0,3,0,2
274,2,1,1,3,0,2
282,0,0,0,3,0,2
285,2,1,1,3,0,2
287,1,0,0,4,0,2
291,4,2,1,6,0,2
292,4,2,2,4,0,2
294,0,0,0,3,0,2
309,3,1,2,4,0,2
313,0,0,0,4,0,2
315,1,0,1,3,0,2
322,0,0,0,4,0,2
325,0,0,0,4,0,2
326,1,1,0,3,0,2
328,1,0,1,8,0,2
331,0,0,0,3,0,2
334,1,0,0,5,0,2
337,0,0,0,2,0,2
341,0,0,0,5,0,2
343,0,0,0,3,0,2
347,3,3,0,3,0,2
348,4,1,2,8,0,2
349,1,0,1,3,0,2
350,3,0,2,5,0,2
351,4,2,2,6,0,2
352,3,0,2,4,0,2
354,0,0,0,3,0,2
357,0,0,0,2,0,2
358,0,0,0,2,0,2
360,3,1,1,8,0,2
366,1,0,1,3,0,2
367,0,0,0,4,0,2
370,1,1,0,3,0,2
373,3,1,2,4,0,2
375,3,0,2,5,0,2
376,0,0,0,4,0,2
380,3,1,2,4,0,2
383,1,1,0,2,0,2
385,4,4,0,4,0,2
387,4,4,0,5,0,2
388,4,4,0,5,0,2
389,5,5,0,5,0,2
390,5,3,2,5,0,2
391,0,0,0,3,0,2
392,1,1,0,3,0,2
394,5,1,2,6,0,2
396,4,0,2,5,0,2
401,5,2,2,5,0,2
402,4,3,0,4,0,2
406,2,1,1,5,0,2
407,4,0,3,7,0,2
408,0,0,0,3,0,2
410,2,0,1,7,0,2
411,0,0,0,2,0,2
414,2,0,2,4,0,2
416,2,0,2,5,0,2
419,1,0,1,4,0,2
424,4,3,1,5,0,2
425,1,0,1,7,0,2
426,1,0,1,4,0,2
427,4,4,0,7,0,2
428,0,0,0,4,0,2
429,1,0,0,5,0,2
430,4,4,0,5,0,2
434,0,0,0,3,0,2
435,2,2,0,2,0,2
436,1,1,0,5,0,2
437,3,2,1,6,0,2
438,0,0,0,3,0,2
443,0,0,0,3,0,2
445,2,0,2,4,0,2
446,2,1,1,4,0,2
450,0,0,0,3,0,2
455,3,2,1,6,0,2
456,0,0,0,3,0,2
457,1,0,1,3,0,2
462,0,0,0,2,0,2
466,2,0,2,4,0,2
467,2,2,0,2,0,2
471,0,0,0,3,0,2
472,0,0,0,4,0,2
474,0,0,0,3,0,2
475,3,1,1,7,0,2
476,4,2,2,7,0,2
477,0,0,0,5,0,2
478,1,0,1,3,0,2
479,0,0,0,2,0,2
480,4,1,3,6,0,2
481,3,1,2,4,0,2
483,1,0,1,3,0,2
484,4,0,3,6,0,2
487,2,0,1,5,0,2
488,4,4,0,4,0,2
489,4,2,2,5,0,2
492,2,1,1,5,0,2
493,5,5,0,5,0,2
494,3,1,2,5,0,2
496,4,2,2,4,0,2
497,1,1,0,4,0,2
500,5,1,2,6,0,2
502,1,0,1,4,0,2
503,4,4,0,4,0,2
507,1,0,1,3,0,2
515,1,1,0,5,0,2
516,1,1,0,5,0,2
519,4,2,2,7,0,2
523,3,3,0,7,0,2
527,3,3,0,7,0,2
530,0,0,0,3,0,2
532,1,1,0,4,0,2
533,3,3,0,7,0,2
535,0,0,0,4,0,2
536,4,2,1,4,0,2
539,0,0,0,1,0,2
540,4,2,2,4,0,2
545,4,2,2,4,0,2
546,1,0,1,2,0,2
548,4,4,0,5,0,2
549,3,2,1,4,0,2
552,0,0,0,3,0,2
554,5,3,2,5,0,2
557,4,2,1,4,0,2
559,1,1,0,3,0,2
560,1,1,0,2,0,2
562,4,2,2,6,0,2
565,3,1,2,7,0,2
566,3,3,0,5,0,2
570,3,0,3,8,0,2
572,3,1,2,4,0,2
583,1,0,1,4,0,2
590,0,0,0,4,0,2
593,3,2,0,9,0,2
598,4,1,3,7,0,2
601,2,1,1,4,0,2
602,3,1,2,6,0,2
603,2,0,2,4,0,2
604,3,3,0,3,0,2
608,3,3,0,7,0,2
609,1,0,1,3,0,2
615,0,0,0,3,0,2
616,1,1,0,5,0,2
622,4,2,2,6,0,2
626,2,1,1,5,0,2
632,0,0,0,4,0,2
633,0,0,0,3,0,2
634,0,0,0,3,0,2
642,0,0,0,4,0,2
645,3,3,0,5,0,2
646,0,0,0,4,0,2
647,3,3,0,6,0,2
648,3,2,1,6,0,2
649,0,0,0,4,0,2
651,1,1,0,5,0,2
654,4,1,3,6,0,2
656,2,2,0,2,0,2
663,3,1,2,4,0,2
665,2,2,0,6,0,2
666,4,0,2,4,0,2
668,0,0,0,4,0,2
669,2,2,0,2,0,2
671,0,0,0,4,0,2
672,3,1,1,7,0,2
673,3,0,1,5,0,2
675,2,0,2,8,0,2
680,5,5,0,5,0,2
682,5,2,2,6,0,2
685,2,2,0,3,0,2
687,2,1,1,5,0,2
690,1,0,0,5,0,2
693,0,0,0,3,0,2
701,3,2,1,4,0,2
707,4,2,2,4,0,2
714,2,0,2,5,0,2
718,4,3,1,5,0,2
719,2,0,1,6,0,2
724,3,2,1,6,0,2
727,3,0,2,4,0,2
729,2,1,1,6,0,2
736,2,1,0,6,0,2
738,1,0,0,8,0,2
739,0,0,0,3,0,2
740,3,1,2,6,0,2
742,2,1,1,5,0,2
744,3,0,2,6,0,2
748,1,0,1,3,0,2
752,0,0,0,3,0,2
756,0,0,0,4,0,2
758,3,0,1,5,0,2
759,0,0,0,5,0,2
761,3,1,1,7,0,2
767,4,4,0,4,0,2
768,3,0,3,7,0,2
769,0,0,0,4,0,2
770,1,0,0,4,0,2
771,1,0,0,3,0,2
772,0,0,0,4,0,2
773,0,0,0,4,0,2
774,2,1,1,3,0,2
777,2,1,0,5,0,2
778,1,1,0,5,0,2
780,0,0,0,5,0,2
781,1,0,0,5,0,2
782,2,1,0,6,0,2
784,5,3,1,5,0,2
786,1,0,1,2,0,2
788,2,0,1,6,0,2
791,2,2,0,7,0,2
798,0,0,0,0,0,2
800,1,1,0,6,0,2
802,0,0,0,4,0,2
804,1,0,1,5,0,2
805,0,0,0,4,0,2
809,3,2,1,3,0,2
810,4,3,1,7,0,2
811,1,0,1,5,0,2
812,3,0,2,6,0,2
814,3,3,0,7,0,2
815,1,0,1,5,0,2
818,0,0,0,3,0,2
820,4,2,2,5,0,2
821,0,0,0,3,0,2
823,3,2,1,4,0,2
825,1,1,0,4,0,2
830,5,1,3,6,0,2
834,3,1,2,4,0,2
835,1,0,1,3,0,2
839,2,1,1,4,0,2
841,0,0,0,4,0,2
843,1,1,0,3,0,2
845,1,1,0,6,0,2
846,1,0,0,6,0,2
847,2,0,1,6,0,2
848,0,0,0,2,0,2
850,2,1,0,5,0,2
851,1,1,0,3,0,2
852,1,1,0,3,0,2
856,2,0,1,6,0,2
857,2,1,0,6,0,2
863,1,0,1,5,0,2
866,0,0,0,0,0,2
868,0,0,0,4,0,2
871,1,1,0,5,0,2
872,4,1,3,7,0,2
873,1,0,1,5,0,2
874,1,0,1,2,0,2
876,4,4,0,6,0,2
878,4,0,2,5,0,2
879,4,1,2,6,0,2
882,4,2,1,6,0,2
883,0,0,0,3,0,2
884,1,0,1,3,0,2
887,0,0,0,3,0,2
888,0,0,0,3,0,2
890,0,0,0,3,0,2
893,3,3,0,6,0,2
897,4,3,1,7,0,2
903,2,0,1,5,0,2
906,3,1,2,6,0,2
910,4,3,1,7,0,2
911,2,1,1,6,0,2
912,1,1,0,4,0,2
914,4,2,1,6,0,2
915,1,0,0,2,0,2
916,1,0,0,2,0,2
917,0,0,0,4,0,2
918,2,1,1,5,0,2
919,0,0,0,5,0,2
920,0,0,0,3,0,2
921,4,2,1,7,0,2
922,2,1,1,7,0,2
923,3,1,2,7,0,2
927,2,0,2,5,0,2
930,4,1,1,6,0,2
931,2,1,1,4,0,2
935,5,0,1,5,0,2
936,1,0,0,5,0,2
941,3,2,1,3,0,2
942,4,1,3,6,0,2
943,0,0,0,3,0,2
945,0,0,0,2,0,2
946,0,0,0,3,0,2
947,3,1,2,4,0,2
948,2,1,1,5,0,2
950,0,0,0,3,0,2
955,0,0,0,3,0,2
956,0,0,0,4,0,2
958,4,1,3,6,0,2
961,1,0,0,4,0,2
965,0,0,0,4,0,2
966,4,3,1,6,0,2
967,2,2,0,6,0,2
976,1,0,1,5,0,2
978,5,1,2,6,0,2
983,2,1,0,6,0,2
985,1,0,1,5,0,2
996,1,0,1,5,0,2
1000,0,0,0,4,0,2
1001,4,2,2,7,0,2
1002,0,0,0,4,0,2
1003,4,2,2,7,0,2
1004,1,0,0,4,0,2
1005,4,3,1,5,0,2
1007,1,0,1,4,0,2
1010,0,0,0,5,0,2
1013,1,0,0,4,0,2
1015,4,2,1,8,0,2
1016,0,0,0,3,0,2
1024,0,0,0,5,0,2
1026,1,0,1,3,0,2
1027,2,2,0,5,0,2
1032,4,0,2,5,0,2
1035,4,3,1,7,0,2
1036,2,0,2,4,0,2
1038,4,3,1,7,0,2
1040,2,1,1,2,0,2
1042,1,0,0,5,0,2
1048,0,0,0,4,0,2
1049,1,1,0,5,0,2
1050,1,1,0,4,0,2
1058,1,1,0,7,0,2
1061,4,4,0,5,0,2
1062,5,5,0,5,0,2
1063,3,1,2,4,0,2
1064,1,1,0,4,0,2
1065,1,0,0,4,0,2
1066,0,0,0,3,0,2
1067,0,0,0,3,0,2
1069,0,0,0,3,0,2
1071,1,0,1,3,0,2
1075,3,3,0,8,0,2
1076,1,0,1,4,0,2
1078,3,0,2,5,0,2
1079,2,1,1,7,0,2
1084,2,0,2,9,0,2
1085,0,0,0,4,0,2
1086,1,0,0,4,0,2
1092,4,2,2,4,0,2
1093,1,0,0,5,0,2
1094,5,4,1,5,0,2
1097,0,0,0,4,0,2
1098,3,2,1,3,0,2
1099,1,0,0,5,0,2
1100,3,1,2,8,0,2
1101,2,2,0,5,0,2
1103,2,1,1,7,0,2
1104,1,0,1,5,0,2
1106,3,1,2,4,0,2
1107,0,0,0,3,0,2
1111,0,0,0,2,0,2
1112,1,1,0,4,0,2
1113,3,1,2,8,0,2
1114,2,0,2,5,0,2
1116,3,2,0,4,0,2
1120,1,1,0,5,0,2
1122,3,2,1,5,0,2
1123,3,1,2,6,0,2
1124,1,1,0,6,0,2
1127,3,1,2,5,0,2
1129,1,1,0,6,0,2
1135,4,2,2,5,0,2
1137,0,0,0,3,0,2
1138,0,0,0,4,0,2
1139,0,0,0,2,0,2
1142,0,0,0,4,0,2
1144,2,2,0,3,0,2
1147,0,0,0,0,0,2
1148,1,0,1,5,0,2
1149,1,0,1,2,0,2
1150,5,2,2,5,0,2
1151,1,0,1,6,0,2
1152,5,3,1,6,0,2
1154,1,1,0,5,0,2
1155,3,2,1,7,0,2
1156,0,0,0,3,0,2
1157,0,0,0,3,0,2
1158,3,3,0,7,0,2
1160,1,0,0,4,0,2
1161,0,0,0,3,0,2
1162,0,0,0,3,0,2
1163,0,0,0,3,0,2
1164,2,0,1,3,0,2
1165,1,0,0,8,0,2
1169,2,1,1,4,0,2
1172,1,0,0,5,0,2
1174,2,0,2,4,0,2
1175,1,0,0,5,0,2
1176,1,0,1,5,0,2
1179,0,0,0,3,0,2
1180,3,1,2,5,0,2
1181,1,0,1,4,0,2
1183,0,0,0,4,0,2
1187,0,0,0,4,0,2
1188,1,0,1,3,0,2
1189,2,1,1,5,0,2
1192,2,2,0,5,0,2
1193,3,1,2,4,0,2
1194,0,0,0,3,0,2
1195,0,0,0,3,0,2
1197,3,1,2,4,0,2
1198,3,0,2,7,0,2
1202,0,0,0,4,0,2
1203,0,0,0,3,0,2
1206,1,0,1,2,0,2
1208,1,0,0,4,0,2
1212,1,1,0,5,0,2
1213,3,0,2,4,0,2
1214,1,1,0,4,0,2
1215,1,0,1,5,0,2
1216,1,0,0,4,0,2
1218,1,0,1,4,0,2
1219,1,1,0,5,0,2
1234,3,1,2,7,0,2
1237,2,1,0,6,0,2
1238,2,1,0,6,0,2
1240,3,1,1,4,0,2
1242,1,1,0,5,0,2
1243,1,0,1,3,0,2
1245,3,0,2,6,0,2
1246,4,1,2,7,0,2
1248,2,0,1,11,0,2
1251,2,0,2,5,0,2
1253,2,1,1,4,0,2
1256,3,2,1,3,0,2
1261,1,1,0,5,0,2
1262,0,0,0,5,0,2
1265,4,2,2,6,0,2
1266,1,1,0,4,0,2
1267,1,0,1,5,0,2
1269,1,1,0,4,0,2
1270,1,0,0,5,0,2
1271,1,0,1,3,0,2
1272,2,1,0,8,0,2
1273,2,2,0,7,0,2
1274,0,0,0,3,0,2
1281,3,3,0,4,0,2
1285,0,0,0,4,0,2
1286,4,2,2,6,0,2
1288,2,1,0,6,0,2
1289,2,1,1,5,0,2
1291,0,0,0,3,0,2
1292,3,2,1,3,0,2
1294,2,0,1,4,0,2
1295,1,0,0,4,0,2
1296,1,1,0,5,0,2
1297,4,0,2,5,0,2
1299,2,0,2,8,0,2
1300,2,1,0,8,0,2
1301,3,1,1,6,0,2
1302,2,1,0,6,0,2
1303,0,0,0,0,0,2
1305,1,1,0,5,0,2
1308,0,0,0,4,0,2
1309,1,0,0,5,0,2
1312,2,1,1,5,0,2
1314,3,2,1,4,0,2
1315,2,2,0,3,0,2
1316,2,2,0,10,0,2
1317,2,0,2,6,0,2
1319,4,1,3,7,0,2
1320,0,0,0,2,0,2
1321,2,0,1,5,0,2
1322,0,0,0,3,0,2
1323,3,1,2,7,0,2
1325,0,0,0,4,0,2
1328,3,0,1,5,0,2
1330,1,0,1,5,0,2
1334,0,0,0,3,0,2
1336,3,1,2,6,0,2
1339,0,0,0,4,0,2
1340,3,1,2,5,0,2
1341,4,2,2,5,0,2
1342,5,3,1,5,0,2
1343,0,0,0,4,0,2
1345,0,0,0,3,0,2
1348,1,1,0,5,0,2
1349,1,0,0,6,0,2
1351,2,0,1,3,0,2
1352,3,2,1,6,0,2
