legajo;estado_civil;carrera;carrera_grado;sede;anio_ingreso;horas_trabajadas;masculino;femenino;edad_ingreso;colegio_publico;argentino;activo_primer_anio;activo_segundo_anio;estado;promedio_1er_anio;anios_en_unlu;aprobadas_1er_anio;anios_cursados;c_promociones_1er_anio;c_libres_1er_anio;c_regulares_1er_anio;c_ausentes_1er_anio;c_noausentes_1er_anio;cursadas_ap_1er_anio;cursadas_1er_anio;cambio_universidad;cambio_carrera;progresar_2016;fracaso_academico;activo_2017
1;SOLTERO/A;LICENCIATURA EN ENFERMERIA;1;SEDE LUJAN;2016;0;0;1;22;1;1;1;0;INHABILITADO;2,33;1;0;1;0;3;4;8;8;4;16;0;1;0;0;0
2;UNIDO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;0;0;1;21;1;1;0;1;LIBRE;-;2;0;2;0;0;1;3;1;1;4;0;0;1;0;0
3;CASADO/A;LICENCIATURA EN CS. DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;54;1;1;1;0;LIBRE;-;3;0;3;0;0;0;2;0;0;2;0;1;0;0;0
4;SOLTERO/A;CONTADOR PUBLICO;1;D.A. MERCEDES;2014;0;0;1;28;1;1;1;0;LIBRE;-;3;0;3;0;0;0;2;0;0;2;0;0;0;0;0
5;SOLTERO/A;CONTADOR PUBLICO;1;SEDE LUJAN;2016;24;0;1;28;1;1;1;1;REGULAR;2;2;0;2;0;0;1;0;1;1;1;0;0;0;0;1
6;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;6;0;1;26;1;1;1;1;REGULAR;7;4;2;3;2;0;0;0;2;2;2;0;0;0;0;1
7;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;0;1;0;43;1;1;1;1;REGULAR;-;4;0;3;0;0;0;5;0;0;5;0;0;0;0;1
8;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;1;0;30;1;1;1;1;REGULAR;2;4;0;3;0;1;0;1;2;0;3;0;0;0;0;1
9;SOLTERO/A;INGENIERIA INDUSTRIAL;1;SEDE LUJAN;2014;0;1;0;21;1;1;1;0;LIBRE;-;1;0;1;0;2;0;1;2;0;3;0;0;1;1;0
10;SOLTERO/A;CONTADOR PUBLICO;1;SEDE LUJAN;2014;40;0;1;22;0;1;1;1;REGULAR;4,33;4;2;3;1;0;1;3;2;2;5;0;0;0;0;1
11;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;40;0;1;28;0;1;1;1;LIBRE;6,75;2;4;2;3;1;1;0;5;4;5;1;0;0;0;0
12;SOLTERO/A;INGENIERIA INDUSTRIAL;1;SEDE LUJAN;2014;0;1;0;23;0;1;1;1;REGULAR;10;4;1;3;0;2;1;5;3;1;8;0;0;0;0;1
13;SEPARADO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;0;0;1;46;1;1;1;0;LIBRE;-;1;0;1;0;1;0;2;1;0;3;0;0;0;0;0
14;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;0;0;1;33;0;1;1;1;REGULAR;8,5;4;2;3;2;0;0;3;2;2;5;0;0;0;0;1
15;CASADO/A;PROFESORADO EN HISTORIA;1;SEDE LUJAN;2014;8;1;0;51;1;1;1;0;LIBRE;-;1;0;1;0;0;0;2;0;0;2;0;0;0;0;0
16;SOLTERO/A;PROFESORADO EN CIENCIAS BIOLOGICAS;1;SEDE LUJAN;2014;0;0;1;20;1;1;1;1;REGULAR;7;4;1;3;0;1;1;0;2;1;2;0;0;1;0;1
17;SOLTERO/A;INGENIERIA INDUSTRIAL;1;SEDE LUJAN;2014;0;1;0;20;0;1;0;0;REGULAR;-;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1
18;SOLTERO/A;INGENIERIA EN ALIMENTOS;1;SEDE LUJAN;2014;0;0;1;19;1;1;1;1;REGULAR;7,13;4;8;3;4;0;2;2;6;6;8;0;0;1;0;1
19;SOLTERO/A;LIC. EN COMERCIO INTERNACIONAL;1;C.R. CAMPANA;2014;0;0;1;27;0;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;CASADO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;0;0;1;34;1;1;1;1;REGULAR;2;4;0;3;0;0;1;1;1;1;2;1;0;0;0;1
21;SOLTERO/A;LIC. EN COMERCIO INTERNACIONAL;1;SEDE LUJAN;2014;45;0;1;27;0;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;8;0;1;34;1;1;1;1;REGULAR;6,67;4;2;3;2;3;1;1;6;3;7;0;0;0;0;1
23;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;30;0;1;28;1;1;1;0;LIBRE;-;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0
24;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;25;1;0;26;0;1;1;0;LIBRE;-;1;0;1;0;0;0;2;0;0;2;0;0;0;0;0
25;SOLTERO/A;PROFESORADO EN HISTORIA;1;SEDE LUJAN;2014;0;0;1;38;1;1;1;0;LIBRE;-;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0
