,c_noausentes_1er_anio,cursadas_ap_1er_anio,c_libres_1er_anio,cursadas_1er_anio,fracaso_academico,id_cluster
0,8,4,3,16,0,1
1,1,1,0,4,0,2
2,0,0,0,2,0,2
3,0,0,0,2,0,2
4,1,1,0,1,0,2
5,2,2,0,2,0,2
6,0,0,0,5,0,2
7,2,0,1,3,0,2
8,2,0,2,3,1,0
9,2,2,0,5,0,2
10,5,4,1,5,0,2
11,3,1,2,8,0,2
12,1,0,1,3,0,2
13,2,2,0,5,0,2
14,0,0,0,2,0,2
15,2,1,1,2,0,2
16,0,0,0,0,0,2
17,6,6,0,8,0,1
18,0,0,0,0,0,2
19,1,1,0,2,0,2
20,0,0,0,0,0,2
21,6,3,3,7,0,1
22,0,0,0,1,0,2
23,0,0,0,2,0,2
24,0,0,0,1,0,2
25,2,2,0,3,0,2
26,4,3,1,5,0,2
27,3,3,0,8,0,2
28,0,0,0,1,0,2
29,1,1,0,1,0,2
30,0,0,0,1,0,2
31,5,4,0,8,0,1
32,6,6,0,6,0,1
33,7,5,2,9,0,1
34,3,3,0,6,0,2
35,5,5,0,7,0,1
36,0,0,0,0,0,2
37,3,3,0,4,0,2
38,1,1,0,3,0,2
39,0,0,0,2,0,2
40,0,0,0,4,0,2
41,2,2,0,3,0,2
42,1,1,0,4,0,2
43,1,1,0,3,0,2
44,6,6,0,7,0,1
45,7,6,1,7,0,1
46,3,0,3,7,0,2
47,7,2,5,8,1,0
48,4,0,3,6,0,2
49,3,1,2,4,0,2
50,3,1,1,4,0,2
51,2,1,1,5,0,2
52,7,4,3,9,0,1
53,7,5,1,10,0,1
54,2,1,1,6,0,2
55,8,5,3,10,0,1
56,7,5,1,8,0,1
57,4,4,0,12,0,1
58,6,0,5,8,1,0
59,7,6,0,9,0,1
60,0,0,0,2,0,2
61,3,2,0,7,0,2
62,5,2,2,7,0,1
63,5,1,3,11,0,1
64,1,0,1,7,0,2
65,0,0,0,4,0,2
66,2,0,1,4,0,2
67,1,1,0,4,0,2
68,8,7,0,10,0,1
69,2,2,0,2,0,2
70,1,1,0,5,0,2
71,0,0,0,3,0,2
72,2,1,0,8,0,2
73,1,0,1,2,0,2
74,0,0,0,0,0,2
75,5,4,1,9,0,1
76,5,3,1,5,0,2
77,2,2,0,4,0,2
78,0,0,0,1,0,2
79,5,3,2,8,0,1
80,0,0,0,1,0,2
81,9,9,0,9,0,1
82,3,1,2,6,0,2
83,6,3,3,6,0,1
84,0,0,0,0,0,2
85,0,0,0,0,0,2
86,0,0,0,0,0,2
87,0,0,0,0,0,2
88,0,0,0,0,0,2
89,0,0,0,0,0,2
90,0,0,0,0,0,2
91,0,0,0,0,0,2
92,0,0,0,0,0,2
93,0,0,0,0,0,2
94,0,0,0,0,0,2
95,0,0,0,0,0,2
96,0,0,0,0,0,2
97,0,0,0,0,0,2
98,0,0,0,0,0,2
99,0,0,0,0,0,2
100,3,3,0,3,0,2
101,0,0,0,0,0,2
102,0,0,0,0,0,2
103,0,0,0,0,0,2
104,0,0,0,0,0,2
105,0,0,0,0,0,2
106,0,0,0,0,0,2
107,1,0,1,1,1,0
108,0,0,0,0,0,2
109,0,0,0,0,0,2
110,0,0,0,0,0,2
111,0,0,0,0,0,2
112,0,0,0,0,0,2
113,0,0,0,0,0,2
114,1,1,0,1,0,2
115,0,0,0,0,0,2
116,0,0,0,0,0,2
117,0,0,0,0,0,2
118,0,0,0,0,0,2
119,0,0,0,0,0,2
120,0,0,0,0,0,2
121,0,0,0,0,0,2
122,0,0,0,0,0,2
123,3,2,0,8,0,2
124,4,4,0,6,0,2
125,2,0,2,3,1,0
126,5,4,0,10,0,1
127,2,1,1,2,0,2
128,1,0,1,1,1,0
129,0,0,0,3,0,2
130,3,2,1,3,0,2
131,0,0,0,0,0,2
132,1,0,1,4,0,2
133,3,2,1,3,0,2
134,12,12,0,13,0,1
135,0,0,0,4,0,2
136,0,0,0,0,0,2
137,8,7,1,8,0,1
138,7,4,3,7,0,1
139,7,7,0,7,0,1
140,0,0,0,3,0,2
141,0,0,0,0,0,2
142,2,2,0,2,0,2
143,0,0,0,0,0,2
144,2,2,0,3,0,2
145,3,1,0,3,0,2
146,0,0,0,1,0,2
147,6,6,0,6,0,1
148,0,0,0,4,0,2
149,4,4,0,4,0,2
150,7,7,0,7,0,1
151,4,1,3,5,1,0
152,0,0,0,3,0,2
153,3,3,0,3,0,2
154,7,2,4,7,1,0
155,6,1,4,6,1,0
156,3,1,2,5,0,2
157,7,6,1,9,0,1
158,6,5,1,7,0,1
159,7,7,0,7,0,1
160,3,0,3,3,1,0
161,5,5,0,7,0,1
162,10,9,1,10,0,1
163,10,8,2,10,0,1
164,6,4,2,7,0,1
165,5,5,0,5,0,2
166,4,3,1,7,0,2
167,8,5,3,8,0,1
168,3,2,1,7,0,2
169,7,4,3,7,0,1
170,12,12,0,12,0,1
171,2,1,0,5,0,2
172,8,8,0,8,0,1
173,7,6,1,8,0,1
174,7,7,0,7,0,1
175,1,0,1,5,0,2
176,8,8,0,8,0,1
177,0,0,0,4,0,2
178,8,5,2,8,0,1
179,7,4,3,10,0,1
180,10,9,0,10,0,1
181,4,0,4,4,1,0
182,5,1,4,5,1,0
183,7,6,1,7,0,1
184,4,3,1,9,0,1
185,7,6,1,8,0,1
186,1,0,1,5,0,2
187,8,7,1,8,0,1
188,2,2,0,4,0,2
189,4,4,0,4,0,2
190,6,5,1,7,0,1
191,7,6,1,7,0,1
192,6,3,3,6,0,1
193,8,7,0,8,0,1
194,4,0,3,5,1,0
195,2,2,0,3,0,2
196,7,4,2,7,0,1
197,5,1,4,5,1,0
198,0,0,0,1,0,2
199,7,5,1,10,0,1
200,4,0,3,4,1,0
201,5,2,3,8,0,1
202,0,0,0,4,0,2
203,9,7,1,9,0,1
204,7,3,4,8,0,1
205,8,2,4,8,0,1
206,2,0,2,4,0,2
207,6,3,3,9,0,1
208,7,2,4,10,0,1
209,7,5,1,8,0,1
210,2,0,2,4,0,2
211,9,7,1,9,0,1
212,2,1,1,5,0,2
213,8,6,2,10,0,1
214,4,2,1,8,0,2
215,6,5,1,7,0,1
216,6,4,2,9,0,1
217,6,1,4,7,1,0
218,6,3,3,10,0,1
219,4,1,3,5,1,0
220,8,8,0,10,0,1
221,1,1,0,4,0,2
222,5,0,3,5,1,0
223,8,7,0,8,0,1
224,6,6,0,9,0,1
225,6,2,4,10,0,1
226,7,5,2,8,0,1
227,2,1,1,4,0,2
228,8,8,0,8,0,1
229,0,0,0,5,0,2
230,7,2,5,7,1,0
231,2,0,2,3,1,0
232,7,6,1,10,0,1
